이름 : 다차, 몸무게 : 51, 키 : 172 
이름 : 차하, 몸무게 : 46, 키 : 171 
이름 : 바하, 몸무게 : 60, 키 : 162 
이름 : 하나, 몸무게 : 66, 키 : 181 
이름 : 라나, 몸무게 : 75, 키 : 157 
이름 : 라나, 몸무게 : 76, 키 : 151 
이름 : 하다, 몸무게 : 40, 키 : 197 
이름 : 차차, 몸무게 : 90, 키 : 190 
이름 : 바타, 몸무게 : 63, 키 : 189 
이름 : 파파, 몸무게 : 54, 키 : 150 
이름 : 바나, 몸무게 : 89, 키 : 150 
이름 : 하다, 몸무게 : 47, 키 : 166 
이름 : 바아, 몸무게 : 83, 키 : 198 
이름 : 가카, 몸무게 : 74, 키 : 150 
이름 : 타카, 몸무게 : 97, 키 : 189 
이름 : 라라, 몸무게 : 52, 키 : 162 
이름 : 아마, 몸무게 : 48, 키 : 159 
이름 : 타파, 몸무게 : 82, 키 : 155 
이름 : 차가, 몸무게 : 98, 키 : 182 
이름 : 바아, 몸무게 : 98, 키 : 152 
이름 : 바나, 몸무게 : 40, 키 : 157 
이름 : 차타, 몸무게 : 43, 키 : 178 
이름 : 바라, 몸무게 : 60, 키 : 167 
이름 : 사차, 몸무게 : 76, 키 : 159 
이름 : 파가, 몸무게 : 83, 키 : 151 
이름 : 아나, 몸무게 : 60, 키 : 193 
이름 : 아차, 몸무게 : 40, 키 : 188 
이름 : 타자, 몸무게 : 43, 키 : 166 
이름 : 아사, 몸무게 : 68, 키 : 160 
이름 : 카라, 몸무게 : 98, 키 : 184 
이름 : 마다, 몸무게 : 56, 키 : 194 
이름 : 차다, 몸무게 : 96, 키 : 184 
이름 : 마카, 몸무게 : 70, 키 : 197 
이름 : 라아, 몸무게 : 47, 키 : 183 
이름 : 자사, 몸무게 : 89, 키 : 178 
이름 : 자나, 몸무게 : 48, 키 : 197 
이름 : 라자, 몸무게 : 87, 키 : 192 
이름 : 다마, 몸무게 : 75, 키 : 171 
